Program Code,Program Name,College Code
BAFIL,Bachelor Of Arts In Filipino,CASS
BAHIS,Bachelor Of Arts In History,CASS
BSBA-BE,Bachelor Of Science In Business Economics,CEBA
BSBA-MM,Bachelor Of Science In Business Management,CEBA
BSBIO,Bachelor Of Science In Biology,CSM
BSCA,Bachelor Of Science In Computer Applications,CCS
BSCE,Bachelor Of Science In Civil Engineering,COE
BSCERE,Bachelor Of Science In Ceramic Engineering,COE
BSED-MAPEH,Bachelor Of Secondary Education Major in MAPEH,CED
BSED-MATH,Bachelor Of Secondary Education Major in Mathematics,CED
BSED-PHYS,Bachelor Of Secondary Education Major in Physical Sciences,CED
BSEE,Bachelor Of Science In Electrical Engineering,COE
BSEM,Bachelor Of Science In Mining Engineering,COE
BSENT,Bachelor Of Science In Entrepreneurship,CEBA
BSENVET,Bachelor Of Science In Environmental Engineering,COE
BSHM,Bachelor Of Science In Hospitality Management,CEBA
BSIS,Bachelor Of Science In Information Systems,CCS
BSIT,Bachelor Of Science In Information Technology,CCS
BSN,Bachelor Of Science in Nursing,CHS
BSCS,Bachelor Of Science In Computer Science,CCS
